,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
696,gizo,sb,-8.1031,156.8419,79.65,100,92,1.36
699,bilma,ne,18.6929,12.9187,57.15,33,0,2.71
703,quelimane,mz,-17.8776,36.8902,78.6,94,92,5.28
704,olinda,br,-22.8173,-43.4117,73.11,100,8,2.04
705,breves,br,-1.6823,-50.4803,75.69,100,76,5.95
710,cabo san lucas,mx,22.8938,-109.9112,70.88,100,0,7.07
711,micheweni,tz,-4.9667,39.8333,80.91,100,48,10.42
712,souillac,mu,-20.5167,57.5167,79.59,86,92,18.14
715,port augusta,au,-32.4909,137.764,79.9,40,0,9.31
717,pitimbu,br,-7.4729,-34.8113,79.23,96,92,8.63
719,charters towers,au,-20.0715,146.271,82.98,69,0,7.74
720,manggar,id,-2.8834,108.2667,82.53,100,56,5.28
724,dalby,au,-27.1823,151.2634,80.8,57,88,18.92
725,visby,se,57.6379,18.298,30.56,100,24,20.83
726,naifaru,mv,5.4444,73.3657,79.74,100,92,1.59
727,zyryanskoye,ru,56.8342,86.6212,7.02,86,0,2.82
729,semey,kz,50.405,80.2492,17.64,86,68,2.71
730,marau,br,-28.4494,-52.2002,59.49,70,0,3.94
732,itaituba,br,-4.2626,-55.9879,73.35,100,76,2.59
734,koson,uz,39.0389,65.5875,50.25,89,64,4.61
735,daru,pg,-9.07,143.21,82.26,100,56,4.05
737,puteyets,ru,65.1716,57.091,21.33,82,80,4.05
740,muli,mv,2.9167,73.5667,81.36,100,64,4.83
744,colares,pt,38.7992,-9.4463,57.25,97,92,27.54
745,asyut,eg,27.1802,31.1877,64.09,49,0,2.93
752,manicore,br,-5.8092,-61.3003,75.69,95,36,2.04
754,kormend,hu,47.011,16.606,44.19,97,80,3.15
755,helena,us,46.5927,-112.0362,18.1,62,8,5.5
756,bulgan,mn,48.8129,103.5323,18.45,41,0,4.16
760,bambanglipuro,id,-7.95,110.2833,85.68,66,80,5.84
761,pacasmayo,pe,-7.4029,-79.5685,67.95,96,12,5.61
762,acajutla,sv,13.5905,-89.8329,71.73,87,0,2.71
763,kenai,us,60.5544,-151.2584,24.04,83,36,1.92
766,tshikapa,cd,-6.4231,20.7888,69.21,100,88,2.59
769,zapolyarnyy,ru,69.4262,30.8199,19.56,84,76,4.61
774,toppenish,us,46.3775,-120.309,39.56,88,88,4.83
782,doctor arroyo,mx,23.6729,-100.1795,44.73,96,36,4.16
785,beipiao,cn,41.7998,120.7635,59.94,65,48,8.97
786,samarkand,uz,39.6548,66.9758,39.56,100,88,6.06
787,vila do maio,cv,15.1333,-23.2167,72.57,100,0,14.79
789,berezanka,ua,46.8553,31.3875,42.39,98,92,9.19
796,pokhara,np,28.2095,83.9914,65.25,53,56,1.7
798,twentynine palms,us,34.1357,-116.0544,54.21,75,0,2.59
799,mikumi,tz,-7.4049,36.977,74.43,87,64,3.27
800,bosaso,so,11.2785,49.18,76.95,100,32,2.15
804,teya,ru,60.3731,92.6306,8.19,50,64,7.4
805,inhambane,mz,-23.866,35.3844,76.95,97,88,5.28
807,iqaluit,ca,63.7494,-68.5219,-10.14,57,8,5.84
820,adrar,dz,27.8734,-0.2875,53.69,44,0,4.16
822,narsaq,gl,60.9127,-46.0453,4.32,29,0,1.48
826,zheleznodorozhnyy,ru,55.7503,38.0042,20.98,89,88,13.22
828,griffith,au,-34.2871,146.0551,78.03,67,0,4.72
830,nara,ml,15.1713,-7.2889,67.23,53,24,2.93
831,newcastle,au,-32.9273,151.7813,81.68,84,0,9.64
836,buala,sb,-8.1456,159.593,82.35,97,76,3.38
842,aswan,eg,24.0911,32.8973,72.91,42,0,3.6
843,alice springs,au,-23.6984,133.8813,94.73,21,0,9.64
846,marsabit,ke,2.3381,37.9916,75.51,79,48,3.38
847,prince rupert,ca,54.3161,-130.3202,38.79,98,44,2.59
848,lucapa,ao,-8.4196,20.7411,66.15,98,92,3.04
851,port-cartier,ca,50.0257,-66.8819,31.53,93,80,32.12
852,dukat,ru,62.55,155.55,-14.14,77,0,2.71
853,anshun,cn,26.2497,105.9278,65.61,73,20,5.95
864,isiro,cd,2.7743,27.6208,73.89,86,12,2.93
865,mbandaka,cd,0.0471,18.2565,75.6,94,20,3.38
866,mackay,au,-21.15,149.2,83.55,100,0,14.79
871,aklavik,ca,68.2183,-135.0136,-1.14,34,0,3.15
874,shelburne,ca,44.0785,-80.2035,27.23,79,68,16.35
875,suntar,ru,62.1575,117.6463,3.69,45,44,6.62
877,kultuk,ru,51.7256,103.7115,16.83,50,0,4.05
879,mindelo,cv,16.8901,-24.9805,69.39,100,8,13.67
880,te anau,nz,-45.4145,167.7175,54.63,71,88,13.56
882,saint-louis,re,-21.2667,55.4167,82.63,84,0,7.63
885,sweetwater,us,32.471,-100.406,41.88,46,32,8.41
886,alofi,nu,-19.0596,-169.9187,83.1,98,0,16.8
888,qala,mt,36.0363,14.3104,56.68,98,12,10.54
891,filingue,ne,14.3521,3.3168,63.09,56,8,2.82
893,bulawayo,zw,-20.1561,28.5887,66.15,78,0,6.51
894,okato,nz,-39.1896,173.8803,65.88,91,0,11.77
896,aksu,cn,41.1231,80.2644,53.55,55,88,6.06
897,guerrero negro,mx,27.971,-114.0364,58.95,98,80,9.98
902,zhigansk,ru,66.7656,123.3741,-8.02,64,76,4.16
905,los llanos de aridane,es,28.6585,-17.9183,60.64,100,0,5.73
908,saint george,bm,32.3817,-64.6781,62.87,100,48,21.27
909,rivera,co,2.7779,-75.2583,73.35,56,48,2.71
914,wicklow,ie,53,-6.4167,46.26,96,92,24.07
916,tagusao,ph,9.1924,117.8141,84.15,79,64,4.94
920,antofagasta,cl,-23.6464,-70.3981,57.36,90,0,1.14
925,traralgon,au,-38.1947,146.5382,71.64,50,20,4.94
930,takoradi,gh,4.8874,-1.752,78.93,100,20,4.94
941,mecca,sa,21.426,39.8297,85.82,36,0,3.94
943,pangnirtung,ca,66.149,-65.7179,2.79,84,56,10.65
948,khorixas,na,-20.3739,14.9604,68.49,43,0,4.94
950,napasar,in,27.9687,73.5617,87.03,22,0,9.64
951,tabou,ci,4.4194,-7.3604,80.55,100,56,4.5
965,santa rosa,ec,-3.4504,-79.9602,71.55,95,48,0.81
967,muzhi,ru,65.4,64.7019,17.91,86,80,5.39
972,chiredzi,zw,-21.0456,31.6709,73.89,76,0,4.38
973,aldan,ru,58.6084,125.3882,2.34,46,48,7.96
974,halifax,ca,44.6491,-63.5752,38.66,88,92,42.64
975,ancud,cl,-41.8682,-73.8288,52.74,97,100,9.86
980,solnechnyy,ru,50.7238,136.6401,25.83,71,36,6.62
982,beyneu,kz,45.3214,55.1862,18.99,100,0,4.61
990,qujing,cn,25.4903,103.7965,66.15,44,8,9.64
991,wukari,ng,7.8705,9.7776,78.57,81,0,13.22
992,demirci,tr,39.0508,28.6622,43.38,93,76,3.04
996,the valley,ai,18.217,-63.0579,77.29,99,56,16.46
998,utiel,es,39.5681,-1.2052,47.28,87,32,6.73
999,srednekolymsk,ru,67.4555,153.7071,-12.7,40,36,3.04
1001,salym,ru,60.0625,71.4789,15.03,66,24,10.76
1005,salalah,om,17.0149,54.0957,75.63,99,0,3.94
1006,izhma,ru,65.0087,53.9083,23.31,83,88,3.38
1015,porto novo,cv,17.0197,-25.0648,67.48,100,8,13.67
1020,esperance,au,-33.8583,121.8932,86.58,46,92,9.42
1021,kaitong,cn,44.8135,123.15,38.79,85,56,14.9
1023,tiarei,pf,-17.5334,-149.3334,76.78,100,76,8.75
1035,qasigiannguit,gl,68.8201,-51.1933,8.94,84,64,3.15
1036,bani,do,18.2833,-70.3334,79.38,97,48,10.65
1041,mugur-aksy,ru,50.38,90.4417,16.74,77,12,2.71
1044,kalianget,id,-7.3459,109.9109,79.2,84,20,1.92
1045,valparaiso,cl,-33.0394,-71.6273,41.67,93,0,3.15
1049,iguape,br,-24.7043,-47.5564,75.78,100,48,6.62
1051,nantucket,us,41.2835,-70.0995,33.12,100,12,23.06
1052,uglich,ru,57.5268,38.3167,27.45,92,92,21.83
1055,matehuala,mx,23.6465,-100.6436,43.83,92,56,4.5
1060,banjar,id,-7.3694,108.5417,81.9,87,32,4.72
1066,the pas,ca,53.8224,-101.2406,18.9,68,0,7.07
1070,tazovskiy,ru,67.4667,78.7,12.51,91,76,10.98
1072,moengo,sr,5.6196,-54.4032,74.88,86,92,2.93
1076,alpena,us,45.0617,-83.4328,23.29,81,64,12.66
1078,atar,mr,20.5183,-13.0544,58.41,47,0,5.28
1079,gloucester,us,37.4138,-76.5256,29.25,92,36,4.61
1081,camacha,pt,33.0833,-16.3334,63.79,97,88,21.83
1082,plettenberg bay,za,-34.0528,23.3716,69.84,100,92,12.21
1088,baley,ru,51.5788,116.646,16.56,47,0,4.61
1089,waddan,ly,29.1615,16.1414,51.66,46,0,5.17
1096,san fernando,mx,24.8471,-98.1541,60.93,70,92,4.5
1111,le port,re,-20.9373,55.2919,82.54,84,0,7.63
1113,bandarbeyla,so,9.4942,50.8122,76.59,100,92,4.05
1118,khandyga,ru,62.6478,135.5751,0.18,53,48,3.49
1121,sinnamary,gf,5.3772,-52.9574,79.11,95,92,13
1129,coihaique,cl,-45.5753,-72.0662,38.37,98,68,3.94
1131,kanye,bw,-24.9767,25.3359,67.59,77,0,10.2
1133,alta floresta,br,-9.8716,-56.084,73.89,97,88,1.92
1142,kruisfontein,za,-34.0034,24.7314,67.59,87,56,10.76
1146,pacific grove,us,36.6174,-121.9156,52.3,94,48,8.41
1150,sungairaya,id,0.7,108.9,82.89,86,92,2.15
1151,ngunguru,nz,-35.6167,174.5,69.93,93,0,8.86
1154,sokolo,ml,14.7414,-6.121,68.58,35,64,5.39
1157,paka,my,4.6374,103.4368,87.96,78,56,4.05
1158,gillette,us,44.2906,-105.5019,26.74,78,0,12.66
1168,harer,et,9.3094,42.1258,73.35,47,88,3.38
1171,mnogovershinnyy,ru,53.9353,139.9242,15.03,59,24,2.93
1175,ampanihy,mg,-24.6942,44.7477,83.88,59,0,9.19
1176,guanare,ve,9.0408,-69.7413,78.57,59,8,5.61
1179,polyarnyy,ru,69.1989,33.4478,4.91,77,68,4.94
1184,rawson,ar,-43.2992,-65.1057,58.59,38,44,12.66
1185,redlands,us,34.0557,-117.1889,55.42,91,64,2.26
1186,jodhpur,in,26.2968,73.0351,83.61,26,0,10.65
1194,kovernino,ru,57.1253,43.8142,18.45,79,20,16.35
1197,arvika,se,59.6544,12.5916,19.6,77,0,3.15
1204,buckeye,us,33.3703,-112.5839,57.2,60,44,3.71
1208,moranbah,au,-22.0031,148.0433,89.01,32,0,15.12
1211,menongue,ao,-14.6611,17.682,65.61,89,0,2.93
1214,vardo,no,70.3705,31.1107,28.62,100,48,17.02
1215,dragoesti,ro,47.55,26.0833,37.99,94,80,5.95
1216,saint-augustin,ca,45.6256,-73.9796,30.56,90,88,10.2
1217,hirado,jp,33.3201,129.493,68.63,85,0,9.75
1219,sungai besar,my,3.6774,100.9864,88.7,100,12,8.08
1220,kaeo,nz,-35.1018,173.7751,69.75,55,0,6.17
1224,broken hill,au,-31.9651,141.4511,80.19,34,0,10.87
1229,sao domingos,br,-13.3984,-46.3184,70.11,95,92,5.73
1233,hohoe,gh,7.1532,0.4777,67.41,95,0,2.15
1234,tilichiki,ru,60.4667,166.1,-8.2,63,0,7.74
1236,rafaela,ar,-31.2527,-61.4917,62.91,89,8,0.81
1239,biak,id,-0.9132,122.8766,84.06,86,92,2.71
1243,shimoda,jp,34.701,138.9287,66.38,90,0,17.02
1245,jangaon,in,17.7244,79.1571,95.49,36,0,5.61
1246,dzhubga,ru,44.3171,38.7044,47.43,99,92,2.71
1248,sao gabriel da cachoeira,br,-0.1303,-67.0892,73.26,96,88,3.49
1252,lyuban,ru,59.3463,31.2442,40.05,97,92,8.63
1255,berlevag,no,70.8578,29.0864,22.95,100,76,9.75
1258,nanchang,cn,28.6793,115.8886,72.63,81,36,11.32
1264,shirwal,in,18.1461,73.9776,89.28,41,0,4.5
1268,ouidah,bj,6.3666,2.0854,77.65,98,8,5.5
1278,morondava,mg,-20.2954,44.2798,88.92,75,0,3.71
1286,ulkan,ru,57.243,107.3223,13.14,51,36,6.85
1292,ciudad bolivar,ve,8.1222,-63.5498,78.57,68,0,15.12
1297,muyezerskiy,ru,63.9333,31.65,21.6,79,88,10.87
1298,bendigo,au,-36.7589,144.2826,74.16,63,0,8.41
1301,hami,cn,42.8354,93.5128,61.83,54,48,1.7
1309,karratha,au,-20.7371,116.8479,104.58,16,0,5.06
1312,kaseda,jp,31.4167,130.3167,67.39,91,0,11.1
1316,pa sang,th,18.5262,98.9394,101.97,33,0,4.05
1323,tamandare,br,-8.2789,-70.7519,75.87,92,8,2.59
1324,vao,nc,-22.6667,167.4833,80.91,95,36,17.69
1330,sitrah,bh,26.1547,50.6206,68.4,88,0,9.08
1338,campanha,br,-21.8362,-45.402,67.5,93,8,6.96
1342,hailar,cn,49.2,119.7,23.58,81,24,18.37
1345,sonkovo,ru,57.7779,37.1569,28.98,95,92,20.6
1347,itarema,br,-2.9248,-39.9167,76.14,97,76,6.06
1348,kon tum,vn,14.3615,108.0039,87.21,39,0,3.83
1350,sung noen,th,14.8977,101.8183,101.82,61,12,4.61
1352,mazamitla,mx,19.9153,-103.0198,51.39,82,0,1.36
1355,chukhloma,ru,58.7561,42.6811,25.65,88,76,21.72
1356,ixtapa,mx,20.715,-105.2067,58.68,87,0,1.81
1357,ucluelet,ca,48.9414,-125.5491,40.23,100,92,2.04
1359,dossor,kz,47.5228,52.9794,11.79,100,0,4.83
1365,tete,mz,-16.1606,33.5871,75.24,93,88,8.41
1367,motygino,ru,58.1842,94.6943,13.41,64,8,3.6
1368,yazd,ir,31.8883,54.3643,69.91,22,0,3.6
1375,cap-aux-meules,ca,47.3821,-61.8597,32.83,89,92,45.43
1377,windhoek,na,-22.5745,17.0791,68.22,50,92,1.48
1388,taft,us,27.979,-97.398,54.57,80,0,6.85
1390,huilong,cn,31.1549,106.4976,69.39,86,12,3.94
1394,nome,us,30.0358,-94.4244,45.99,58,0,7.96
1396,las vegas,us,36.1663,-115.1493,67.1,40,48,6.96
1397,kahului,us,20.8894,-156.4728,68.09,86,80,10.76
1399,hervey bay,au,-25.2986,152.8535,74.43,100,100,24.74
1404,mana,gf,5.6687,-53.7785,75.78,86,92,3.15
1414,aiken,us,33.5599,-81.722,39.69,60,0,9.31
1417,sept-iles,ca,50.2001,-66.3821,30.15,80,92,8.3
1420,dicabisagan,ph,17.0818,122.4157,77.58,100,32,4.38
1426,dallas,us,32.7763,-96.7969,44.94,52,0,8.3
1432,ust-maya,ru,60.4164,134.5365,0.18,53,64,5.73
1433,roald,no,62.5838,6.1242,24.42,100,20,7.18
1434,pisco,pe,-13.71,-76.203,64.09,89,12,1.81
1450,baykit,ru,61.6784,96.3854,3.96,77,68,7.18
1451,piracaia,br,-23.0526,-46.3594,64.72,90,20,4.5
1452,boulsa,bf,12.6627,-0.5731,68.67,81,0,5.95
1453,pitangui,br,-19.6823,-44.8906,73.35,73,80,4.72
1461,pajapan,mx,18.2608,-94.6914,71.65,100,100,5.61
1466,mandalgovi,mn,45.763,106.2704,23.76,90,88,10.54
1469,terrasini,it,38.146,13.0844,57.47,98,0,16.24
1474,hrodna,by,53.6835,23.8343,41.16,95,48,8.75
1483,vastse-kuuste,ee,58.1669,26.9343,35.22,99,92,11.43
1484,pita,gn,11.0565,-12.3951,65.43,88,8,1.7
1487,bassano,ca,50.7879,-112.4659,6.48,44,8,4.16
1491,lompoc,us,34.6392,-120.458,54.12,100,88,2.93
1497,indian head,ca,50.5333,-103.6667,6.75,52,20,2.93
1500,olden,no,61.8364,6.8064,12.51,83,32,2.71
1502,puerto colombia,co,10.9891,-74.9555,77.68,91,8,12.44
1504,babstovo,ru,48.1167,132.4833,27.63,70,88,3.6
1511,kumluca,tr,36.3657,30.2875,37.35,71,8,2.04
1513,hobyo,so,5.3505,48.5268,81.45,79,24,9.19
1516,mayumba,ga,-3.4391,10.6473,80.28,100,92,7.63
1522,koumac,nc,-20.5614,164.2812,80.1,89,88,9.42
1525,astoria,us,46.1879,-123.8313,43.83,96,44,4.94
1527,khash,ir,28.2204,61.2137,63.36,39,0,4.27
1529,taoudenni,ml,22.6783,-3.9837,58.59,23,0,9.19
1530,pital,cr,10.4538,-84.2752,69.28,97,100,1.92
1538,marti,cu,21.1455,-77.4477,68.63,97,92,2.59
1541,ocos,gt,14.5094,-92.1934,82.26,100,24,2.93
1546,atambua,id,-9.1066,124.892,75.42,100,92,5.61
1548,luwuk,id,-0.9504,122.7886,84.06,86,92,2.71
1551,namibe,ao,-15.1902,12.1531,75.6,100,36,5.28
1553,horadiz,az,39.4511,47.3315,39.51,100,68,3.71
1558,kulhudhuffushi,mv,6.6221,73.07,77.04,100,92,13.44
1559,manaure,co,11.7771,-72.447,78.12,95,0,18.48
1562,beeville,us,28.4008,-97.7484,52.16,58,0,5.73
1563,isaka,tz,-3.9057,32.9451,66.96,96,0,4.61
1564,cockburn town,bs,24.0333,-74.5167,75.33,98,76,5.5
1568,kautokeino,no,69.0125,23.0412,7.11,74,0,5.95
1569,dhanaura,in,28.96,78.2574,86.31,42,0,3.83
1577,muros,es,42.7744,-9.0576,53.74,98,92,28.88
1579,sao jose da coroa grande,br,-8.8978,-35.1478,76.41,97,68,5.17
1582,kuytun,ru,54.3442,101.5062,16.56,59,0,5.84
1591,falmouth,gb,50.1552,-5.0689,50.43,93,92,24.96
1598,siniscola,it,40.5719,9.6922,48.56,96,0,10.42
1600,darjiling,in,27.0333,88.2667,63.63,82,80,0.36
1627,ellensburg,us,46.9965,-120.5479,39.76,97,92,4.38
1628,vung tau,vn,10.3486,107.0765,86.49,87,24,15.46
1637,scarborough,tt,11.1833,-60.7334,78.89,98,0,18.59
1640,zafra,es,38.4253,-6.4194,52.74,99,92,9.64
1643,katherine,au,-14.4657,132.2631,96.53,46,0,16.8
1648,inongo,cd,-1.9254,18.2864,74.61,96,8,2.37
1650,sharjah,ae,25.3585,55.3895,76.01,78,0,12.21
1656,broome,au,-17.9667,122.2333,103.35,47,0,2.15
1657,mariel,cu,22.9909,-82.754,57.25,83,0,5.95
1659,xapuri,br,-10.6512,-68.5018,78.66,84,8,3.04
1660,kenda,in,23.1959,86.5149,105.24,27,0,7.4
1661,santa maria,cv,16.6,-22.9,68.07,96,8,16.35
1666,busembatia,ug,0.7748,33.6238,69.03,99,0,4.27
1670,maceio,br,-9.6659,-35.7353,73.15,96,12,7.29
1671,el reno,us,35.5322,-97.9551,34.7,71,0,2.93
1672,stony mountain,ca,50.0878,-97.2193,19.02,75,12,8.41
1675,fenelon falls,ca,44.5359,-78.738,27.45,89,68,7.4
1677,vanimo,pg,-2.6741,141.3028,83.61,100,20,16.13
1678,bowen,au,-20.0107,148.2468,85.21,93,8,14.79
1680,ardee,ie,53.8597,-6.5406,44.89,97,92,24.74
1681,oistins,bb,13.0667,-59.5334,78.62,100,100,17.25
1682,marang,my,5.2056,103.2059,85.75,98,36,5.17
1689,batavia,us,42.998,-78.1876,29.12,92,80,3.38
1701,sorland,no,67.667,12.6934,32.04,100,0,18.7
1702,borodino,ua,46.3019,29.2405,44.91,99,92,13.67
1703,west plains,us,36.7282,-91.8526,31.89,52,0,6.06
1705,komsomolskiy,ru,67.5537,63.776,-14.23,85,0,13.67
1721,alekseyevsk,ru,57.8406,108.3492,11.61,55,56,8.75
1725,new glasgow,ca,45.5869,-62.6484,34.65,93,92,25.08
1729,seoul,kr,37.5667,126.9783,76.57,55,12,10.65
1734,newport,us,41.49,-71.3138,31.41,100,0,15.9
1736,guasdualito,ve,7.24,-70.733,79.29,61,0,5.06
1742,petropavlovsk-kamchatskiy,ru,53.0452,158.6483,23.36,90,88,11.43
1744,hun,ly,29.1268,15.9477,51.66,46,0,5.17
1747,suita,jp,34.7649,135.5174,68.95,68,0,6.62
1748,nyurba,ru,63.2866,118.3541,2.7,47,36,6.17
1766,halkirk,gb,58.5117,-3.4903,41.04,100,44,22.39
1767,yelizovo,ru,53.1865,158.3837,19.99,72,88,2.82
1769,calabozo,ve,8.9194,-67.4305,82.35,52,0,16.24
1771,neyshabur,ir,36.2106,58.7923,46.26,100,0,3.83
1772,maturin,ve,9.7452,-63.18,77.13,73,64,6.73
1779,sistranda,no,63.7256,8.834,31.75,94,80,8.75
1780,half moon bay,us,37.4636,-122.4286,51.44,100,92,15.79
1785,tautira,pf,-17.7334,-149.15,77.25,100,68,11.1
1789,severodvinsk,ru,64.5634,39.8238,21.18,94,88,21.05
1792,sawakin,sd,19.1031,37.3312,71.82,81,0,4.83
1794,honiara,sb,-9.4313,159.9553,83.91,85,80,2.37
1798,saquena,pe,-4.6667,-73.5167,75.96,94,0,3.6
